age,workclass,fnlgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
53,Private,144361,College,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,128354,Masters,14,No spouse,Exec-managerial,Other,White,Female,0,0,40,United-States,<=50K
41,Gov,101603,Assoc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,271466,Assoc,11,Never-married,Prof-specialty,Other,White,Male,0,0,43,United-States,<=50K
25,Private,32275,College,10,Married-civ-spouse,Exec-managerial,Wife,Others,Female,0,0,40,United-States,<=50K
18,Private,226956,College,9,Never-married,Other-service,Other,White,Female,0,0,30,United-States,<=50K
47,Private,51835,Doctorate,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K
50,Federal-gov,251585,Bachelors,13,No spouse,Exec-managerial,Other,White,Male,0,0,55,United-States,>50K
47,Self-emp-inc,109832,College,9,No spouse,Exec-managerial,Other,White,Male,0,0,60,United-States,<=50K
43,Private,237993,College,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
46,Private,216666,School,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
35,Private,56352,Assoc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
41,Private,147372,College,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
30,Private,188146,College,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
32,Private,293936,School,4,No spouse,Prof-speciality,Other,White,Male,0,0,40,United-States,<=50K
48,Private,149640,College,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
29,Private,105598,College,10,No spouse,Tech-support,Other,White,Male,0,0,58,United-States,<=50K
36,Private,155537,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,183175,College,10,No spouse,Adm-clerical,Other,White,Female,0,0,40,United-States,<=50K
53,Private,169846,College,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
49,Self-emp-inc,191681,College,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
25,Private,200681,College,10,Never-married,Prof-speciality,Other,White,Male,0,0,40,United-States,<=50K
19,Private,101509,College,10,Never-married,Prof-specialty,Other,White,Male,0,0,32,United-States,<=50K
31,Private,309974,Bachelors,13,No spouse,Sales,Other,Black,Female,0,0,40,United-States,<=50K
29,Without-pay,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K
23,Private,211678,College,10,Never-married,Machine-op-inspct,Other,White,Male,0,0,40,United-States,<=50K
79,Private,124744,College,10,Married-civ-spouse,Prof-specialty,Other,White,Male,0,0,20,United-States,<=50K
27,Private,213921,College,9,Never-married,Other-service,Other,White,Male,0,0,40,Mexico,<=50K
40,Private,32214,Assoc,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
67,Private,212759,School,6,Married-civ-spouse,Prof-speciality,Husband,White,Male,0,0,2,United-States,<=50K
18,Private,309634,School,7,Never-married,Other-service,Other,White,Female,0,0,22,United-States,<=50K
31,Gov,125927,School,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,446839,College,9,Never-married,Sales,Other,White,Male,0,0,30,United-States,<=50K
52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K
46,Private,51618,College,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
59,Private,159937,College,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
44,Private,343591,College,9,No spouse,Craft-repair,Other,White,Female,14344,0,40,United-States,>50K
53,Private,346253,College,9,No spouse,Sales,Other,White,Female,0,0,35,United-States,<=50K
49,Gov,268234,College,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
30,Private,54334,School,5,Never-married,Sales,Other,White,Male,0,0,40,United-States,<=50K
43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Other,White,Female,0,0,50,United-States,>50K
57,Private,249977,Assoc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,286730,College,10,No spouse,Craft-repair,Other,White,Female,0,0,40,United-States,<=50K
28,Private,212563,College,10,No spouse,Machine-op-inspct,Other,Black,Female,0,0,25,United-States,<=50K
30,Private,117747,College,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,United-States,<=50K
34,Gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
29,Gov,115585,College,10,Never-married,Handlers-cleaners,Other,White,Male,0,0,50,United-States,<=50K
48,Without-pay,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K
37,Private,202683,College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
48,Private,171095,Assoc,12,No spouse,Exec-managerial,Other,White,Female,0,0,40,England,<=50K
32,Federal-gov,249409,College,9,Never-married,Other-service,Other,Black,Male,0,0,40,United-States,<=50K
76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
47,Without-pay,149116,Masters,14,Never-married,Prof-specialty,Other,White,Female,0,0,50,United-States,<=50K
20,Private,188300,College,10,Never-married,Tech-support,Other,White,Female,0,0,40,United-States,<=50K
29,Private,103432,College,9,Never-married,Craft-repair,Other,White,Male,0,0,40,United-States,<=50K
32,Self-emp-inc,317660,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
17,Private,304873,School,6,Never-married,Prof-speciality,Other,White,Female,34095,0,32,United-States,<=50K
30,Private,194901,School,7,Never-married,Handlers-cleaners,Other,White,Male,0,0,40,United-States,<=50K
31,Gov,189265,College,9,Never-married,Adm-clerical,Other,White,Female,0,0,40,United-States,<=50K
42,Private,124692,College,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,432376,Bachelors,13,Never-married,Sales,Other,White,Male,0,0,40,United-States,<=50K
38,Private,65324,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
56,Without-pay,335605,College,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,>50K
28,Private,377869,College,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
36,Private,102864,College,9,Never-married,Machine-op-inspct,Other,White,Female,0,0,40,United-States,<=50K
53,Private,95647,School,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
56,Self-emp-inc,303090,College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
49,Gov,197371,Assoc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
55,Private,247552,College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
22,Private,102632,College,9,Never-married,Craft-repair,Other,White,Male,0,0,41,United-States,<=50K
21,Private,199915,College,10,Never-married,Other-service,Other,White,Female,0,0,40,United-States,<=50K
40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Other,Black,Male,0,0,40,Germany,<=50K
29,Gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
19,Private,301606,College,10,Never-married,Other-service,Other,Black,Male,0,0,35,United-States,<=50K
47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
20,Private,111697,College,10,Never-married,Adm-clerical,Other,White,Female,0,1719,28,United-States,<=50K
31,Private,114937,Assoc,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
35,Private,129305,College,9,Married-civ-spouse,Prof-speciality,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,365739,College,10,No spouse,Craft-repair,Other,White,Male,0,0,40,United-States,<=50K
28,Private,69621,Assoc,12,Never-married,Sales,Other,White,Female,0,0,60,United-States,<=50K
24,Private,43323,College,9,Never-married,Other-service,Other,White,Female,0,1762,40,United-States,<=50K
38,Without-pay,120985,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
46,Private,146195,Assoc,12,No spouse,Tech-support,Other,Black,Female,0,0,36,United-States,<=50K
38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K
43,Without-pay,56920,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
27,Private,163127,Assoc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
20,Private,34310,College,10,Never-married,Sales,Other,White,Male,0,0,20,United-States,<=50K
49,Private,81973,College,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
61,Self-emp-inc,66614,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,232782,College,10,Never-married,Sales,Other,White,Female,0,0,40,United-States,<=50K
19,Private,316868,College,10,Never-married,Other-service,Other,White,Male,0,0,30,Mexico,<=50K
45,Private,196584,Assoc,11,Never-married,Prof-specialty,Other,White,Female,0,1564,40,United-States,>50K
70,Private,105376,College,10,Never-married,Tech-support,Other,White,Male,0,0,40,United-States,<=50K
31,Private,185814,College,9,Never-married,Transport-moving,Other,Black,Female,0,0,30,United-States,<=50K
22,Private,175374,College,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
36,Private,108293,College,9,No spouse,Other-service,Other,White,Female,0,0,24,United-States,<=50K
64,Private,181232,School,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
43,Private,174662,College,10,No spouse,Prof-speciality,Other,White,Female,0,0,40,United-States,<=50K
47,Gov,186009,College,10,No spouse,Adm-clerical,Other,White,Female,0,0,38,Mexico,<=50K
34,Private,198183,College,9,Never-married,Adm-clerical,Other,White,Female,0,0,40,United-States,<=50K
33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
21,Private,296158,College,9,Never-married,Craft-repair,Other,White,Male,0,0,35,United-States,<=50K
52,Private,252903,College,9,No spouse,Prof-speciality,Other,White,Male,0,0,45,United-States,>50K
48,Private,187715,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Other,White,Male,0,0,40,United-States,<=50K
71,Without-pay,494223,College,10,No spouse,Sales,Other,Black,Male,0,1816,2,United-States,<=50K
29,Private,191535,College,9,No spouse,Craft-repair,Other,White,Male,0,0,60,United-States,<=50K
42,Private,228456,Bachelors,13,No spouse,Other-service,Other,Black,Male,0,0,50,United-States,<=50K
68,Private,38317,School,2,No spouse,Prof-speciality,Other,White,Female,0,0,20,United-States,<=50K
25,Private,252752,College,9,Never-married,Other-service,Other,White,Female,0,0,40,United-States,<=50K
44,Self-emp-inc,78374,Masters,14,No spouse,Exec-managerial,Other,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28,Private,88419,College,9,Never-married,Exec-managerial,Other,Asian-Pac-Islander,Female,0,0,40,England,<=50K
45,Without-pay,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
36,Private,207157,College,10,No spouse,Other-service,Other,White,Female,0,0,40,Mexico,<=50K
39,Federal-gov,235485,Assoc,12,Never-married,Exec-managerial,Other,White,Male,0,0,42,United-States,<=50K
46,Gov,102628,Masters,14,No spouse,Protective-serv,Other,White,Male,0,0,40,United-States,<=50K
18,Private,25828,School,7,Never-married,Handlers-cleaners,Other,White,Male,0,0,16,United-States,<=50K
66,Gov,54826,Assoc,11,No spouse,Prof-specialty,Other,White,Female,0,0,20,United-States,<=50K
27,Private,124953,College,9,Never-married,Other-service,Other,White,Male,0,1980,40,United-States,<=50K
28,Gov,175325,College,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,96062,College,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K
27,Private,428030,Bachelors,13,Never-married,Craft-repair,Other,White,Male,0,0,50,United-States,<=50K
28,Gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
27,Private,253814,College,9,No spouse,Sales,Other,White,Female,0,0,25,United-States,<=50K
21,Private,312956,College,9,Never-married,Craft-repair,Other,Black,Male,0,0,40,United-States,<=50K
34,Private,483777,College,9,Never-married,Handlers-cleaners,Other,Black,Male,0,0,40,United-States,<=50K
18,Private,183930,College,9,Never-married,Other-service,Other,White,Male,0,0,12,United-States,<=50K
33,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K
44,Gov,181344,College,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K
43,Private,114580,College,10,No spouse,Adm-clerical,Other,White,Female,0,0,40,United-States,<=50K
30,Private,633742,College,10,Never-married,Craft-repair,Other,Black,Male,0,0,45,United-States,<=50K
40,Private,286370,School,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50K
37,Federal-gov,29054,College,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K
34,Private,304030,College,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
41,Without-pay,143129,Bachelors,13,No spouse,Exec-managerial,Other,White,Female,0,0,40,United-States,<=50K
53,Private,135105,Bachelors,13,No spouse,Prof-speciality,Other,White,Female,0,0,50,United-States,<=50K
31,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
58,Gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
38,Private,155222,College,10,No spouse,Machine-op-inspct,Other,Black,Female,0,0,28,United-States,<=50K
24,Private,159567,College,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
47,Private,120939,College,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
41,Federal-gov,130760,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
23,Private,197387,School,3,Married-civ-spouse,Transport-moving,Other,White,Male,0,0,40,Mexico,<=50K
36,Private,99374,College,10,No spouse,Craft-repair,Other,White,Male,0,0,40,United-States,<=50K
40,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Other,White,Female,14084,0,55,United-States,>50K
35,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Other,White,Male,7298,0,40,United-States,>50K
24,Without-pay,32921,College,9,Never-married,Sales,Other,White,Male,0,0,40,United-States,<=50K
26,Private,397317,Masters,14,Never-married,Prof-specialty,Other,White,Female,0,1876,40,United-States,<=50K
19,Private,170653,College,9,Never-married,Prof-speciality,Other,White,Male,0,0,40,Italy,<=50K
51,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
42,Gov,254817,College,10,Never-married,Prof-specialty,Other,White,Female,0,1340,40,United-States,<=50K
37,Gov,48211,College,9,No spouse,Adm-clerical,Other,White,Female,0,0,35,United-States,<=50K
18,Private,140164,School,7,Never-married,Sales,Other,White,Female,0,0,40,United-States,<=50K
36,Private,128757,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,>50K
35,Private,36270,College,9,No spouse,Craft-repair,Other,White,Male,0,0,60,United-States,<=50K
58,Self-emp-inc,210563,College,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,>50K
17,Private,65368,School,7,Never-married,Sales,Other,White,Female,0,0,12,United-States,<=50K
44,Gov,160943,College,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
37,Private,208358,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
35,Private,153790,College,10,Never-married,Sales,Other,Others,Female,0,0,40,United-States,<=50K
60,Private,85815,College,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
54,Self-emp-inc,125417,School,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
37,Private,635913,Bachelors,13,Never-married,Exec-managerial,Other,Black,Male,0,0,60,United-States,>50K
50,Private,313321,Assoc,12,No spouse,Sales,Other,White,Female,0,0,40,United-States,<=50K
38,Private,182609,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland,<=50K
45,Private,109434,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
25,Private,255004,School,6,Never-married,Craft-repair,Other,White,Male,0,0,40,United-States,<=50K
31,Private,197860,College,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
64,Private,187656,School,2,No spouse,Prof-speciality,Other,White,Male,0,0,40,United-States,<=50K
90,Private,51744,College,9,Never-married,Other-service,Other,Black,Male,0,2206,40,United-States,<=50K
54,Private,176681,College,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
53,Gov,140359,School,1,Never-married,Machine-op-inspct,Other,White,Female,0,0,35,United-States,<=50K
18,Private,243313,College,9,Never-married,Sales,Other,White,Female,0,0,40,United-States,<=50K
60,Private,24215,School,6,No spouse,Prof-speciality,Other,Others,Female,0,0,10,United-States,<=50K
66,Without-pay,167687,College,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
75,Private,314209,Assoc,11,No spouse,Adm-clerical,Other,White,Female,0,0,20,Columbia,<=50K
65,Private,176796,College,9,No spouse,Adm-clerical,Other,White,Female,0,0,40,United-States,<=50K
35,Private,538583,School,7,No spouse,Transport-moving,Other,Black,Male,3674,0,40,United-States,<=50K
41,Private,130408,College,9,No spouse,Sales,Other,Black,Female,0,0,38,United-States,<=50K
25,Private,159732,College,10,Never-married,Adm-clerical,Other,White,Male,0,0,42,United-States,<=50K
33,Private,110978,College,10,No spouse,Craft-repair,Other,Others,Female,0,0,40,United-States,<=50K
28,Private,76714,Doctorate,15,Never-married,Prof-specialty,Other,White,Male,0,0,55,United-States,>50K
59,Gov,268700,College,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
40,Gov,170525,College,10,Never-married,Adm-clerical,Other,White,Female,0,0,38,United-States,<=50K
41,Private,180138,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran,>50K
38,Gov,115076,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
23,Private,115458,College,9,Never-married,Transport-moving,Other,White,Male,0,0,40,United-States,<=50K
40,Private,347890,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
41,Without-pay,196001,College,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,<=50K
24,Gov,273905,Assoc,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
20,Private,119156,College,10,Never-married,Prof-speciality,Other,White,Male,0,0,20,United-States,<=50K
38,Private,179488,College,10,No spouse,Craft-repair,Other,White,Male,0,1741,40,United-States,<=50K
56,Private,203580,College,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United-States,<=50K
58,Private,236596,College,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K
32,Private,183916,College,9,Never-married,Other-service,Other,White,Female,0,0,34,United-States,<=50K
40,Private,207578,Assoc,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,>50K
45,Private,153141,College,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,112763,Doctorate,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
42,Private,390781,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
59,Gov,171328,School,6,No spouse,Other-service,Other,Black,Female,0,0,30,United-States,<=50K
19,Gov,27382,College,10,Never-married,Adm-clerical,Other,White,Male,0,0,40,United-States,<=50K
58,Private,259014,College,10,Never-married,Transport-moving,Other,White,Male,0,0,20,United-States,<=50K
42,Without-pay,303044,College,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
20,Private,117789,College,9,Never-married,Other-service,Other,White,Female,0,0,40,United-States,<=50K
32,Private,172579,College,9,No spouse,Other-service,Other,White,Female,0,0,30,United-States,<=50K
45,Private,187666,Assoc,11,No spouse,Exec-managerial,Other,White,Female,0,0,45,United-States,<=50K
50,Private,204518,School,4,No spouse,Craft-repair,Other,White,Male,0,0,40,United-States,<=50K
36,Private,150042,Bachelors,13,No spouse,Prof-specialty,Other,White,Female,0,0,40,United-States,<=50K
45,Private,98092,College,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
17,Private,245918,School,7,Never-married,Other-service,Other,White,Male,0,0,12,United-States,<=50K
59,Private,146013,College,10,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K
26,Private,378322,School,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
